Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Rondae Hollis-Jefferson,PF,TOR,@ MIA,29th,104.50,4300,4.1,39.4,19.2,1.5,0.96,34.83,11.34,10.07,6.54,20.3,6.2,19.9,20.75,19.22,19.22,100,,48,4.5,,29,26.90,6.3
Patrick McCaw,SG,TOR,@ MIA,29th,104.50,4300,2.7,39.5,15.0,2.0,0.57,20.48,11.09,10.50,9.01,10.8,5.3,26.3,29.25,18.48,18.48,100,,30,4.3,Y,28,5.70,1.3
Marquese Chriss,PF,GSW,@ MIN,8th,104.75,4300,15.8,52.8,19.6,1.8,1.11,39.97,14.91,10.59,12.32,19.6,5.4,17.7,29.75,31.64,31.64,100,,46,7.4,Y,22,24.90,5.8
Jarrett Culver,SF,MIN,vs GSW,3rd,106.75,4300,10.4,46.2,18.9,2.0,0.83,29.63,11.66,10.23,10.28,19.2,9.0,22.9,31.75,25.78,25.78,100,,46,6,Y,32,17.50,4.1
Garrett Temple,SG,BKN,@ DAL,22nd,108.00,4300,0,17.3,21.4,2.6,0.73,26.21,9.28,8.66,0,16.0,9.9,29.4,0.00,0.00,0.00,100,,60,0,,,,
De'Anthony Melton,PG,MEM,@ SAC,15th,110.25,4300,4.4,40.7,19.4,3.0,1.17,42.14,20.31,10.37,10.16,20.0,5.7,16.6,18.00,19.94,19.94,100,,47,4.6,,21,24.50,5.7
Cedi Osman,SF,CLE,vs CHA,16th,107.00,4200,6.5,35.8,19.9,2.2,0.69,25.03,9.18,8.37,6.95,16.0,8.8,28.7,27.25,19.09,19.09,100,,58,4.5,Y,26,22.20,5.3
Darius Garland,PG,CLE,vs CHA,26th,107.00,4200,8.3,33.4,17.6,2.9,0.62,22.27,7.06,7.19,5.88,20.9,10.8,28.4,30.00,19.06,19.06,100,,59,4.5,Y,34,34.00,8.1
Jalen Brunson,PG,DAL,vs BKN,30th,115.00,4200,1.5,39.9,16.6,3.5,0.94,33.78,13.93,10.98,7.45,21.4,6.7,17.7,19.25,17.93,17.93,100,,34,4.3,,11,5.70,1.4
Maxi Kleber,PF,DAL,vs BKN,3rd,115.00,4200,12,37.5,18.6,1.0,0.78,27.87,7.19,7.26,5.69,14.1,6.4,24.0,28.50,22.93,22.93,100,,61,5.5,,31,32.30,7.7
Dorian Finney-Smith,SF,DAL,vs BKN,12th,115.00,4200,12.6,36.1,19.4,1.4,0.68,24.53,6.81,6.69,6.01,12.5,6.7,28.5,31.75,22.67,22.67,100,,66,5.4,Y,28,27.80,6.6
Trey Lyles,PF,SAS,vs OKC,7th,109.50,4200,4.6,32.1,14.5,1.3,0.85,30.51,9.81,7.85,5.38,12.4,4.1,17.1,19.75,16.41,16.41,100,,46,3.9,Y,10,3.00,0.7
Patrick Mills,PG,SAS,vs OKC,17th,109.50,4200,2.6,33.7,18.9,2.1,0.81,29.28,12.31,8.90,6.75,20.0,9.0,23.3,19.75,15.91,15.91,100,,53,3.8,,21,6.10,1.5
Svi Mykhailiuk,SG,DET,@ LAC,13th,105.75,4200,6.4,31.7,10.9,1.3,0.61,22.07,13.31,7.25,10.07,16.3,5.3,17.9,27.25,17.24,17.24,100,,33,4.1,Y,29,18.40,4.4
Landry Shamet,PG,LAC,vs DET,20th,117.75,4200,7.3,27.4,14.7,1.6,0.54,19.59,5.97,5.74,4.27,12.9,6.8,27.0,25.75,15.93,15.93,100,,61,3.8,Y,28,21.30,5.1
Kevin Porter Jr.,SF,CLE,vs CHA,19th,107.00,4100,8.6,34.7,16.9,2.0,0.78,27.81,8.93,7.44,6.45,19.1,7.5,21.8,26.00,19.80,19.80,100,,56,4.8,,24,16.10,3.9
Michael Porter Jr.,PF,DEN,@ IND,27th,104.75,4100,0.2,25.4,10.1,0.4,1.03,37.17,17.50,7.20,5.47,23.6,4.3,9.8,11.25,10.97,10.97,100,,29,2.7,,23,31.50,7.7
Jerami Grant,PF,DEN,@ IND,23rd,104.75,4100,6.5,30.6,17.6,0.8,0.76,27.19,7.79,6.89,4.87,17.6,7.7,23.3,22.50,16.83,16.83,100,,61,4.1,,21,11.10,2.7
Monte Morris,PG,DEN,@ IND,27th,104.75,4100,0.4,33.3,16.1,3.2,0.90,32.69,14.16,9.39,6.49,18.9,6.6,17.8,16.50,14.49,14.49,100,,42,3.5,,14,11.50,2.8
